season,code,R,G,B,
summer,890596,137,5,150,
summer,5C2FC2,92,47,194,
summer,845EC2,255,94,120,
summer,91684A,145,104,74,
summer,9FB4FF,159,180,255,
summer,A03C78,160,60,120,
summer,A35709,163,87,9,
summer,AC0D0D,172,13,13,
summer,AC4B1C,172,75,28,
summer,B4BDFF,180,189,255,
summer,B99470,185,148,112,
summer,BC7C7C,188,124,124,
summer,C1AC95,193,172,149,
summer,C21010,194,16,16,
summer,C51605,197,22,5,
summer,C67ACE,198,122,206,
summer,C75643,199,86,67,
summer,C9CBFF,201,203,255,
summer,CE1F6A,206,31,106,
summer,CF0000,207,0,0,
summer,D08752,208,135,82,
summer,D35D6E,211,93,110,
summer,D37815,211,120,21,
summer,D8B4F8,216,180,248,
summer,D9D7F1,217,215,214,
summer,DBA979,219,169,121,
summer,E26A2C,226,106,44,
summer,E28F83,226,143,131,
summer,E3DFC8,227,223,200,
summer,E4C087,228,192,135,
summer,E5707E,229,112,126,
summer,E64848,230,72,72,
summer,E76F51,231,111,81,
summer,E78F81,231,143,129,
summer,E8B86D,232,184,109,
summer,E9B384,233,179,132,
summer,EAAC7F,234,172,127,
summer,EC5858,236,88,88,
summer,ECCA9C,236,202,156,
summer,ED8E7C,237,142,124,
summer,ED9455,237,148,85,
summer,EF9595,239,149,149,
summer,EFB08C,239,176,140,
summer,EFB495,239,180,149,
summer,F05945,240,89,69,
summer,F48B29,244,139,41,
summer,F4A261,244,162,97,
summer,F4BBBB,244,187,187,
summer,F4BFBF,244,191,191,
summer,F5DAD2,245,218,210,
summer,F5F1DA,245,241,218,
summer,F7EEDD,247,238,221,
summer,F8BD7F,0,65,109,
summer,F8D49D,248,212,157,
summer,FAEBE0,250,235,224,
summer,FBF6F0,251,246,240,
summer,FCA652,252,166,82,
summer,FD8C04,253,140,4,
summer,FD8D14,253,141,20,
summer,FD9B63,253,155,99,
summer,FDA65D,253,166,93,
summer,FED1EF,254,209,239,
summer,FF2442,255,36,66,
summer,FF5E78,132,94,194,
summer,FF7B54,255,123,84,
summer,FF7D29,255,125,41,
summer,FF8243,255,130,67,
summer,FF8303,255,131,3,
summer,FF865E,254,134,94,
summer,FF9100,255,145,0,
summer,FF9494,255,148,148,
summer,FF9800,225,152,0,
summer,FF9843,255,152,67,
summer,FF9A8C,255,154,140,
summer,FF9D3D,255,157,61,
summer,FFA45B,255,164,91,
summer,FFAB73,255,171,115,
summer,FFAD60,255,173,60,
summer,FFAD84,255,173,132,
summer,FFAEC0,255,174,192,
summer,FFB26B,255,178,107,
summer,FFB534,255,181,52,
summer,FFBB70,255,187,112,
summer,FFBD73,255,189,115,
summer,FFBF78,255,191,120,
summer,FFC1B6,255,193,182,
summer,FFC47E,255,196,126,
summer,FFC7EA,255,199,234,
summer,FFCBCB,255,203,203,
summer,FFCE89,255,206,137,
summer,FFCFB3,255,207,179,
summer,FFD1D1,255,209,209,
summer,FFD57E,255,213,126,
summer,FFD7C4,255,215,196,
summer,FFD9C0,255,217,192,
summer,FFDCB8,255,220,184,
summer,FFDF91,255,223,145,
summer,FFE382,255,227,130,
summer,FFE3E1,255,227,225,
summer,FFE5E5,255,229,229,
summer,FFEEBB,255,238,187,
fall,E6C767,230,199,103,
fall,F87A53,248,122,83,
fall,E4E0E1,228,224,225,
fall,D6C0B3,214,192,179,
fall,AB886D,171,136,109,
fall,493628,73,54,40,
fall,ECDFCC,236,223,204,
fall,FCFAEE,252,250,238,
fall,DA8359,218,131,89,
fall,FAF7F0,250,247,240,
fall,B17457,177,116,87,
fall,FFF8E8,255,248,232,
fall,FFEAC5,255,234,197,
fall,FFDBB5,255,219,181,
fall,BC9F8B,188,159,139,
fall,DEAC80,222,172,128,
fall,F7DCB9,247,220,185,
fall,FFD3B6,255,211,182,
fall,DCA47C,220,164,124,
fall,E6B9A6,230,185,166,
fall,F1E5D1,241,229,209,
fall,DBB5B5,219,181,181,
fall,C39898,195,152,152,
fall,987070,152,112,112,
fall,ECB176,236,177,118,
fall,FED8B1,254,216,177,
fall,A67B5B,166,123,91,
fall,ECB176,236,177,118,
fall,FED8B1,254,216,177,
fall,6C0345,108,3,69,
fall,DC6B19,220,107,25,
fall,F7C566,247,197,102,
fall,9B3922,155,57,34,
fall,F2613F,242,97,63,
fall,ECB159,236,177,89,
fall,B67352,182,115,82,
fall,B19470,177,148,112,
fall,76453B,118,69,59,
fall,F3EEEA,243,238,234,
fall,DE8F5F,222,143,95,
fall,9A4444,154,68,68,
fall,CD5C08,205,92,8,
fall,B2533E,178,83,62,
fall,FF9B50,255,155,80,
fall,E25E3E,226,94,62,
fall,C63D2F,198,61,47,
fall,EAC696,234,198,150,
fall,BA704F,186,112,79,
fall,862B0D,134,43,13,
fall,FFF4F4,255,244,244,
fall,884A39,136,74,57,
fall,C38154,195,129,84,
fall,F97B22,249,123,34,
fall,F3DEBA,243,222,186,
fall,F4B183,244,177,131,
fall,D5B4B4,213,180,180,
fall,E4D0D0,228,208,208,
fall,FDA769,253,167,105,
fall,F8EDE3,248,237,227,
fall,D0B8A8,208,184,168,
fall,85586F,133,88,111,
fall,9E7676,158,118,118,
fall,815B5B,129,91,91,
fall,F8EDE3,248,237,227,
fall,DFD3C3,223,211,195,
fall,D0B8A8,208,184,168,
fall,7D6E83,125,110,131,
fall,FECD70,254,205,112,
fall,FFAE6D,255,174,109,
fall,ECCCB2,236,204,178,
fall,DEB6AB,222,182,171,
fall,AC7088,172,112,136,
fall,ECB390,236,179,144,
fall,DF7861,223,120,97,
fall,A25B5B,162,91,91,
fall,CC704B,204,112,75,
fall,DD4A48,221,74,72,
fall,ECB390,236,179,144,
fall,632626,99,38,38,
fall,9D5353,157,83,83,
fall,EA5C2B,234,92,43,
fall,FF7F3F,255,127,63,
fall,E2C2B9,226,194,185,
fall,D06224,208,98,36,
fall,AE431E,174,67,30,
fall,FFC286,255,194,134,
fall,E5890A,229,137,10,
fall,FED2AA,254,210,170,
fall,6B4F4F,107,79,79,
fall,EED6C4,238,214,196,
fall,C56824,197,104,36,
fall,C36A2D,195,106,45,
fall,F3D5C0,243,213,192,
fall,D4B499,212,180,153,
fall,C36839,195,104,57,
fall,86340A,134,52,10,
fall,B97A95,185,122,149,
fall,F6AE99,246,174,153,
fall,DE8971,222,137,113,
fall,7B6079,123,96,121,
fall,E4D3CF,228,211,207,
fall,E2BCB7,226,188,183,
fall,B67162,182,113,98,
fall,F39189,243,145,137,
fall,BB8082,187,128,130,
fall,D6B0B1,214,176,177,
fall,8B5E83,139,94,131,
fall,FF9A8C,255,154,140,
fall,FBE2E5,251,226,299,
winter,482121,72,33,33,
winter,541212,84,18,18,
winter,552244,85,34,68,
winter,747264,116,114,100,
winter,827397,130,115,151,
winter,865858,134,88,88,
winter,9.67E+78,150,126,118,
winter,411F1F,65,31,31,
winter,512B81,81,43,129,
winter,5D1451,93,20,81,
winter,655DBB,101,93,187,
winter,672F2F,103,47,47,
winter,6C00FF,108,0,255,
winter,6C00FF,109,103,228,
winter,70416D,112,65,109,
winter,758f21,117,14,33,
winter,7A316F,122,49,111,
winter,7A3E3E,122,62,62,
winter,7B113A,123,17,58,
winter,7B66FF,123,102,255,
winter,90303D,144,48,61,
winter,984A59,152,74,89,
winter,9B3675,155,54,117,
winter,A25772,162,87,114,
winter,A25772,253,229,212,
winter,A56CC1,165,108,193,
winter,AC8DAF,172,76,127,
winter,ACB1D6,172,177,214,
winter,AD6C80,173,108,128,
winter,B0A48A,176,164,138,
winter,B5525C,181,82,92,
winter,B67171,182,113,113,
winter,B68973,182,137,115,
winter,B799FF,183,153,255,
winter,B8001F,184,0,31,
winter,B9BBDF,185,187,223,
winter,BB99CD,187,153,205,
winter,BE3144,190,49,68,
winter,BFACE2,191,172,226,
winter,C06014,192,96,20,
winter,C84B31,200,75,49,
winter,CD6688,205,102,136,
winter,D3D5FD,211,213,253,
winter,D6BD98,214,189,152,
winter,D7C0AE,215,192,174,
winter,D8B9C3,216,185,195,
winter,DB6B97,219,107,151,
winter,DDB6C6,221,182,198,
winter,E0CCBE,224,204,190,
winter,E2D5D5,226,213,213,
winter,E3651D,227,101,29,
winter,E3BEC6,227,190,198,
winter,E6FFFD,230,255,253,
winter,E7D9EA,231,217,234,
winter,E8F1F5,232,241,245,
winter,E9D5DA,233,213,218,
winter,EABF9F,234,191,159,
winter,EB6440,235,100,64,
winter,EB6440,188,206,248,
winter,ED8240,237,130,64,
winter,EE8572,238,133,114,
winter,EE99A0,238,153,160,
winter,EEF5FF,238,245,255,
winter,EFDAD7,239,218,215,
winter,F05454,240,84,84,
winter,F1D4D4,241,212,212,
winter,F2DDC1,226,194,185,
winter,F3BDA1,243,189,161,
winter,F5CEBE,245,206,190,
winter,F66B0E,246,107,14,
winter,F8EDFF,248,237,255,
winter,FC3C3C,252,60,60,
winter,FC7300,252,115,0,
winter,FFDED5,255,222,213,
spring,B1AFFF,177,175,255,
spring,BC5A94,188,90,148,
spring,BC7AF9,188,122,249,
spring,BE6DB7,190,109,183,
spring,BEADFA,190,173,250,
spring,C04A82,192,74,130,
spring,C1AEFC,193,174,252,
spring,C499BA,196,153,186,
spring,C780FA,199,128,250,
spring,CDC1FF,205,193,255,
spring,D0BFFF,208,191,255,
spring,D1E9F6,209,233,246,
spring,D25380,210,83,128,
spring,D37676,211,118,118,
spring,D61355,214,19,85,
spring,D864A9,216,100,169,
spring,DA7297,218,114,151,
spring,DC8449,220,132,73,
spring,DC84F3,220,132,243,
spring,DF826C,223,130,108,
spring,DFCCFB,223,204,251,
spring,E1AEFF,225,174,255,
spring,E3ACF9,227,172,249,
spring,E6A4B4,230,164,180,
spring,E7CCCC,231,204,204,
spring,E9A8F2,233,268,242,
spring,EA8FEA,234,143,234,
spring,EB5353,235,83,83,
spring,EBC49F,235,196,196,
spring,EC7272,236,116,116,
spring,ECC5FB,236,197,251,
spring,EDB7ED,237,183,237,
spring,EECAD5,238,202,213,
spring,EF9C66,239,156,102,
spring,F075AA,240,117,170,
spring,F1D3CE,241,211,206,
spring,F28585,242,133,133,
spring,F2BED1,242,190,209,
spring,F31559,243,21,89,
spring,F37878,243,120,120,
spring,F3CCF3,243,204,243,
spring,F3D7CA,243,215,202,
spring,F4538A,244,83,138,
spring,F6C6EA,246,198,234,
spring,F6D6D6,246,214,214,
spring,F7418F,247,65,143,
spring,F7C8E0,247,200,224,
spring,F8E8EE,248,232,238,
spring,F94892,249,72,146,
spring,F94A29,249,74,41,
spring,F9CEEE,249,206,238,
spring,F9F5F6,249,245,246,
spring,FA7070,250,112,112,
spring,FA7070,250,112,112,
spring,FAA300,250,163,0,
spring,FAAB78,250,171,120,
spring,FAD9A1,250,217,161,
spring,FC819E,252,129,158,
spring,FCC2FC,252,194,252,
spring,FDCEDF,253,206,223,
spring,FEC7B4,254,199,180,
spring,FF2171,255,33,113,
spring,FF52A2,255,82,162,
spring,FF6868,255,104,104,
spring,FF6969,255,105,105,
spring,FF6D60,255,109,96,
spring,FF7396,255,115,150,
spring,FF76CE,255,118,206,
spring,FF77B7,255,119,183,
spring,FF78C4,255,120,196,
spring,FF7EE2,255,126,226,
spring,FF8080,255,128,128,
spring,FF8A8A,255,138,138,
spring,FF8DC7,255,141,199,
spring,FF8F8F,255,143,143,
spring,FF90BB,255,144,187,
spring,FF9B9B,255,155,155,
spring,FFA1F5,255,161,245,
spring,FFA24C,255,162,76,
spring,FFA38F,255,163,143,
spring,FFA447,255,164,71,
spring,FFAACF,255,170,207,
spring,FFACC7,255,172,199,
spring,FFB07F,255,176,127,
spring,FFB4B4,255,180,180,
spring,FFB4C2,255,180,194,
spring,FFB7B7,255,183,183,
spring,FFB9B9,255,185,185,
spring,FFBB64,255,187,100,
spring,FFBDF7,255,189,247,
spring,FFC5C5,255,197,197,
spring,FFCCEA,255,204,234,
spring,FFCF96,255,207,150,
spring,FFD495,255,212,149,
spring,FFD4D4,255,212,212,
spring,FFD6A5,255,214,165,
spring,FFDDD2,255,221,210,
spring,FFE9D0,255,233,208,
spring,FFEBD8,255,235,216,
spring,FFEBEB,255,235,235,
spring,FFECEC,255,236,236,
spring,FFF8E3,255,248,227,
